r2, X, Y, Z
0.001280, 0.027980, 0.011430, -0.019149, 0, Decelerating
0.000579, -0.008386, -0.022309, -0.003360
0.003195, -0.018030, -0.029073, 0.045000
0.000798, 0.021503, 0.018006, -0.003377
0.000806, 0.025169, 0.012679, 0.003495
0.000203, 0.002136, -0.000058, -0.014103
0.003336, 0.035441, -0.016332, -0.042587
0.003218, 0.014352, -0.018448, -0.051688
0.000764, 0.005739, -0.015040, -0.022458
0.000686, -0.011532, 0.000550, 0.023506
0.000370, -0.016020, -0.001623, -0.010502
0.003667, 0.005245, -0.022556, -0.055949
0.000560, 0.006539, -0.013270, -0.018473
0.000377, 0.004153, -0.003456, -0.018643
0.000584, 0.013106, -0.004146, -0.019864
0.000706, -0.013164, -0.006788, -0.022050
0.000291, 0.000042, -0.009677, -0.014051
0.000148, 0.004893, -0.003703, -0.010528
0.001418, -0.002744, -0.013911, -0.034880
0.000095, -0.000575, -0.005940, -0.007701
0.001676, -0.014855, -0.013307, -0.035755
0.002299, -0.030590, -0.018827, -0.031766
0.003251, -0.052190, -0.006837, -0.021915
0.010010, -0.099406, -0.005063, -0.010130
0.005962, -0.071953, -0.001598, 0.027961, 0, Accelerating
0.004131, -0.024930, -0.020831, 0.055459
0.002747, 0.009387, -0.014281, -0.049548
0.003342, -0.018877, -0.026015, -0.048053
0.000763, -0.001421, -0.009030, -0.026061
0.000263, 0.002768, 0.000986, -0.015939
0.000787, 0.010763, -0.023612, -0.010681
0.001538, 0.018915, -0.011039, -0.032529
0.001109, 0.013463, -0.004048, -0.030189
0.003481, 0.010106, -0.013652, -0.056502
0.000164, 0.003930, -0.011949, -0.002463
0.000720, -0.004699, -0.004619, -0.026016
0.031252, 0.066516, -0.034844, -0.160043
0.001590, -0.005671, -0.022042, -0.032737
0.000928, 0.030280, 0.003299, -0.000662
0.000052, 0.003244, 0.005783, 0.002863
0.000597, 0.000982, 0.006939, -0.023410
0.000551, 0.013298, -0.005850, -0.018439
0.002714, -0.032620, -0.025070, 0.031962
0.000862, -0.014141, 0.001059, -0.025709
0.001924, 0.021517, 0.017746, -0.033851
0.002236, 0.045407, -0.012768, -0.003297, 0, Decelerating
0.001897, 0.034531, -0.001485, -0.026507
0.001110, 0.029595, 0.000638, -0.015290
0.000922, -0.025554, -0.015776, 0.004435
0.000597, 0.016235, 0.006176, -0.017195
