r2, X, Y, Z
0.005268, -0.063204, -0.005868, 0.035200
0.051361, -0.042099, -0.180595, 0.130284
0.003592, 0.055798, -0.017840, -0.012649
0.007826, -0.066462, 0.025991, 0.052282
0.001419, -0.014746, 0.005305, -0.034258
0.001512, 0.007729, 0.026431, -0.027448
0.001182, -0.025897, -0.017383, 0.014462
0.005112, 0.060791, -0.037377, -0.004365
0.008519, -0.026603, 0.074041, 0.048261
0.003267, -0.022613, -0.030501, 0.042730
0.000308, -0.005255, 0.016375, 0.003518
0.021938, -0.127361, -0.010097, -0.074938
0.001036, 0.026729, 0.017452, -0.004102
0.001580, 0.033420, 0.010828, -0.018610
0.001099, -0.031402, 0.002169, -0.010420
0.011467, -0.101426, -0.033127, 0.009052
0.018560, 0.131537, 0.032317, -0.014605
0.000844, 0.017095, -0.021163, 0.010192
0.000519, -0.002195, 0.002024, 0.022594
0.003136, -0.048903, 0.016971, -0.021376
0.000580, -0.005457, -0.022002, -0.008104
0.000191, 0.003716, -0.007973, 0.010668
0.001041, -0.025030, -0.004186, -0.019923
0.000351, 0.001180, -0.011354, 0.014871
0.000229, 0.006295, 0.004213, 0.013083
0.000132, -0.003930, 0.004735, -0.009715
0.000203, -0.004975, -0.009627, -0.009277
0.000877, -0.027530, -0.003309, 0.010416
0.000825, -0.025712, -0.000859, 0.012760
0.001538, -0.033919, 0.004874, -0.019080
0.000756, -0.025554, 0.009010, -0.004706
0.000357, 0.010169, -0.010366, -0.012073
0.000469, -0.017151, -0.012426, 0.004563
0.001428, 0.003782, -0.035181, 0.013274
0.009306, 0.004893, -0.030594, 0.091357
0.002922, 0.034106, -0.003427, 0.041793
0.001036, 0.027661, -0.007707, 0.014529
0.003170, 0.032980, 0.019493, 0.041263, 0, Stopped
0.000327, -0.016200, -0.005317, -0.005987
0.001410, 0.029859, -0.005994, -0.021963
0.001326, -0.023078, -0.026723, -0.008928
0.002312, 0.022900, 0.023712, 0.035008
0.005828, -0.027274, -0.004515, 0.071160
0.000756, -0.017480, -0.003077, 0.020999
0.001006, 0.021846, -0.008484, 0.021362
0.000565, 0.016574, -0.001709, -0.016947
0.000848, 0.023341, -0.001080, 0.017368
0.002258, 0.043096, 0.009350, -0.017701
0.000406, 0.003702, 0.010497, -0.016784
0.000251, 0.004799, 0.010863, -0.010498
0.002596, -0.029171, -0.002098, -0.041717
0.000898, 0.026957, 0.005099, 0.012064
0.001527, 0.021964, 0.000074, -0.032313
0.000395, 0.011961, 0.001102, -0.015819
0.000013, 0.000259, -0.003439, 0.000882
0.001188, 0.009081, -0.011773, -0.031094
0.007808, 0.023947, -0.002114, -0.085032
0.003498, 0.024082, 0.009214, 0.053225
0.007194, -0.042788, 0.004078, 0.073118
0.008232, -0.017096, -0.017917, -0.087287
0.000066, -0.005349, 0.004544, -0.004118
0.000296, -0.010622, -0.011122, -0.007719
0.000771, -0.011812, -0.008114, 0.023776
0.003128, 0.013843, 0.026272, 0.047398
0.000985, 0.019487, 0.021840, 0.011317
0.009010, 0.029569, -0.025977, -0.086374
0.000308, -0.008840, -0.000214, -0.015152
0.000695, -0.024786, 0.000006, -0.008991
0.000800, 0.026850, 0.000840, -0.008860
0.000429, 0.019279, 0.006923, 0.003046
0.000214, 0.000730, -0.014518, -0.001654
0.001567, 0.023277, 0.004428, -0.031709
0.000387, -0.000532, 0.000093, -0.019659
0.000486, 0.008195, -0.007952, -0.018861
0.000183, 0.003805, 0.004572, 0.012156
0.000269, 0.002194, -0.009151, -0.013447
0.004441, -0.038336, -0.045802, -0.029553
0.006591, 0.008989, 0.033589, 0.073362
0.000712, 0.010950, 0.024323, -0.000554
0.001466, 0.028415, 0.024927, -0.006104
0.005646, 0.073109, 0.017363, 0.000055
0.001010, -0.001439, 0.008484, -0.030587
0.000510, 0.008329, -0.000232, -0.020986
0.002558, 0.007701, -0.002503, 0.049925
0.000152, -0.008379, -0.001683, 0.008864
0.008136, 0.007008, -0.010534, -0.089308
0.012506, 0.084353, 0.039996, 0.061573
0.032781, 0.004815, 0.057162, 0.171728
0.000742, -0.023418, 0.006006, 0.012565
0.000243, 0.000073, -0.008747, -0.012914
0.000435, 0.009039, 0.002152, -0.018674
0.000093, 0.000143, 0.007329, 0.006274
0.000208, 0.009084, 0.007539, 0.008261
0.000256, -0.013727, 0.000297, 0.008187
0.000482, 0.021444, 0.002957, -0.003635
0.000428, 0.013582, -0.004742, -0.014882
0.000069, 0.007341, 0.002867, 0.002562
0.000741, -0.015868, -0.010967, -0.019200
0.000453, 0.002338, -0.001305, -0.021112
0.000125, 0.002202, -0.003817, -0.010278
0.000179, -0.004734, 0.004381, 0.011728
0.000127, -0.011150, 0.001662, -0.000446, 0, Accelerating
0.000434, -0.007262, -0.007140, -0.018169
0.000205, 0.011215, -0.004441, 0.007685
0.001921, 0.043531, 0.001406, 0.004897
0.002192, -0.001931, 0.024257, 0.040004
0.000057, -0.001852, 0.006473, 0.003453
0.000073, -0.005002, -0.003653, 0.005892
0.000328, 0.017409, 0.004531, 0.002003
0.000240, -0.010018, 0.005612, -0.010381
0.000004, 0.000815, 0.001721, 0.000355
0.000922, 0.030261, 0.001970, 0.001422
0.000403, -0.015348, 0.000818, 0.012929
0.000232, -0.006665, 0.013677, 0.000762
0.000076, 0.002584, 0.006624, -0.004996
0.000282, 0.008390, -0.002419, 0.014359
0.000545, 0.021321, 0.000626, 0.009483
0.000693, 0.020162, -0.006454, 0.015640
0.000483, -0.015280, -0.000304, 0.015783
0.000238, 0.001528, 0.002580, -0.015137
0.000967, -0.027502, -0.013100, -0.006222
0.001388, -0.027251, 0.011560, -0.022613
0.000041, -0.004641, -0.003398, -0.002768
0.002310, -0.017843, -0.040936, -0.017778
0.003420, -0.049004, -0.009335, -0.030517
0.000721, -0.016782, 0.017867, 0.010972
0.002704, 0.036067, 0.024779, 0.028097
0.000942, 0.011129, -0.026062, -0.011785
0.001270, -0.029241, -0.019299, -0.006533
0.001470, 0.030090, 0.022679, 0.007062
0.001677, 0.027560, 0.023181, -0.019506
0.007973, -0.012272, -0.076689, -0.044055
0.000553, -0.000392, -0.000645, -0.023498
0.003553, 0.038956, 0.042370, 0.015505
0.000440, 0.019014, 0.008312, 0.002996
0.002226, 0.003524, -0.030058, -0.036199, 0, Max Velocity Reached
0.002090, -0.014697, 0.007072, -0.042710
0.001831, -0.025263, 0.012279, -0.032277
0.000873, 0.015708, -0.024995, -0.001234
0.000729, -0.021781, -0.000114, -0.015945
0.000976, -0.010584, -0.001711, 0.029335
0.002044, -0.006651, 0.037046, 0.025042
0.000428, 0.017378, -0.009605, 0.005777
0.001020, -0.022730, -0.010414, -0.019867
0.002320, 0.038601, 0.002162, 0.028724
0.004083, -0.010915, 0.053570, 0.033076
0.000872, 0.003757, 0.001263, -0.029262
0.003359, -0.023671, -0.049561, -0.018513
0.001395, -0.036086, -0.009593, -0.000710
0.000799, 0.017431, 0.002304, -0.022142
0.001125, -0.017329, -0.025038, 0.014065
0.000524, 0.019199, 0.008518, -0.009119
0.003408, 0.021785, 0.049024, 0.023014
0.000372, 0.018888, -0.002887, 0.002542
0.000187, 0.009783, 0.005945, -0.007455
0.000326, 0.010232, 0.014874, 0.000299
0.000474, 0.009000, 0.016958, -0.010277
0.000771, -0.020596, -0.017674, -0.005903
0.001249, 0.010592, -0.020806, -0.026533
0.000490, -0.015854, 0.014490, 0.005337
0.001337, 0.010013, 0.024695, -0.025037
0.000570, -0.023381, -0.004560, 0.001465
0.001367, -0.028673, -0.010788, -0.020709
0.000961, -0.003136, 0.027882, 0.013175
0.003377, -0.056941, 0.011366, -0.002277
0.000409, 0.004379, 0.018191, -0.007658
0.003256, -0.014753, -0.055010, 0.003490
0.000487, -0.003270, 0.007377, -0.020547
0.003865, 0.005783, 0.056718, 0.024794
0.000644, 0.021995, -0.010670, 0.006808
0.004535, 0.032088, -0.051547, -0.029126
0.000063, -0.001612, -0.006491, 0.004295
0.002674, 0.013894, 0.030223, 0.039588
0.000460, 0.018891, 0.009936, 0.002128
0.000141, -0.004389, -0.008030, -0.007588
0.000092, -0.000862, 0.003419, 0.008894
0.001531, -0.031642, 0.022879, -0.002579
0.001041, 0.020119, -0.013776, -0.021123, 0, Decelerating
0.003672, -0.049938, -0.022624, -0.025811
0.001145, 0.032004, -0.007336, -0.008204
0.000655, 0.006351, 0.016623, -0.018396
0.001135, -0.026113, 0.017161, -0.012593
0.001779, -0.014914, -0.025696, -0.029943
0.000842, -0.008771, 0.025820, 0.009921
0.000650, -0.019813, 0.009687, 0.012802
0.042875, -0.185899, -0.059527, -0.069088
0.001302, -0.002761, -0.015563, -0.032437
