@RELATION train_movement

@ATTRIBUTE time NUMERIC
@ATTRIBUTE r2 NUMERIC
@ATTRIBUTE x NUMERIC
@ATTRIBUTE y NUMERIC
@ATTRIBUTE z NUMERIC
@ATTRIBUTE movement {moving,stopped}

@DATA
79,0.001887,-0.03676,-0.023153,-0.000086,moving
79.5,0.000039,0.003363,-0.001514,-0.005008,moving
80,0.00338,0.01242,0.044721,0.035018,moving
80.5,0.00081,0.015443,-0.021563,-0.010309,moving
81,0.000842,-0.028142,-0.00615,0.00343,moving
81.5,0.00147,-0.005506,0.025229,-0.028346,moving
82,0.004686,0.027874,-0.0404,-0.047721,moving
82.5,0.001714,0.028759,-0.0073,-0.028872,moving
83,0.000471,-0.010787,-0.004594,-0.018273,moving
83.5,0.00006,0.000987,0.005133,-0.005689,moving
84,0.001141,0.030777,-0.013799,0.001794,moving
84.5,0.00288,-0.049219,-0.015375,0.014868,moving
85,0.000684,0.003299,-0.025637,-0.003939,moving
85.5,0.000082,0.004426,0.002165,-0.007596,moving
86,0.001322,-0.018897,-0.030935,0.002877,moving
86.5,0.000087,-0.0058,-0.000299,0.007265,moving
87,0.000101,-0.005845,-0.000199,0.008201,moving
87.5,0.000123,-0.007209,-0.002055,-0.008183,moving
88,0.002922,0.048484,0.005014,0.023369,moving
88.5,0.005508,0.029628,-0.038939,0.055806,moving
89,0.001059,-0.003839,-0.017899,0.026902,moving
89.5,0.002453,-0.009029,0.047021,-0.012687,moving
90,0.002695,0.039189,-0.020648,0.027078,moving
90.5,0.000644,0.001452,-0.009842,0.023353,moving
91,0.003983,-0.041777,-0.03085,-0.035856,moving
91.5,0.00081,0.007235,0.013141,0.02418,moving
92,0.000635,-0.02149,-0.009605,-0.00899,moving
92.5,0.00259,-0.018543,-0.046397,-0.009679,moving
93,0.006237,-0.040153,0.009604,-0.067321,moving
93.5,0.002876,-0.004308,-0.010344,-0.052447,moving
94,0.002016,-0.030649,-0.03251,-0.004406,moving
94.5,0.00496,-0.027984,0.057499,-0.029506,moving
95,0.001353,0.00285,-0.035075,0.010703,moving
95.5,0.000036,-0.002479,0.004335,-0.003369,moving
