r2, X, Y, Z
0.001273, 0.012925, -0.005315, -0.032822
0.000498, 0.003406, -0.021626, -0.004357
0.001301, -0.034778, 0.004057, -0.008636
0.001089, 0.014374, 0.007901, -0.028630
0.004220, 0.064253, -0.003122, -0.009067
0.009765, -0.086774, -0.018238, -0.043620
0.001363, 0.009889, 0.002886, -0.035449
0.000119, 0.008640, -0.006596, 0.001135
0.001023, -0.012622, -0.004237, -0.029075
0.004163, 0.064323, -0.004868, 0.001403
0.000440, 0.013940, -0.015040, -0.004453
0.000078, -0.002356, -0.004062, -0.007506
0.000363, -0.016184, -0.009679, 0.002638
0.000482, -0.020378, -0.001920, -0.007912
0.000137, -0.003587, -0.000059, -0.011127
0.007132, -0.077846, -0.014961, -0.029125, 0, Stopped
0.000146, -0.008532, -0.008152, 0.002631
0.000105, 0.009989, -0.002241, 0.000632
0.003627, -0.047865, -0.016047, -0.032839
0.019451, 0.075851, 0.048871, 0.106343
0.008057, -0.075755, -0.000445, 0.048150
0.002570, 0.034909, -0.004955, -0.036422
0.003845, -0.027829, -0.029808, -0.046716
0.003093, -0.026180, -0.017219, -0.045950
0.000483, -0.019330, -0.009361, -0.004637
0.000140, 0.000422, -0.007296, -0.009289
0.000320, -0.013595, -0.011613, 0.000126
0.000322, -0.001143, -0.013957, -0.011238
0.000102, 0.005438, -0.003874, -0.007554
0.000104, 0.009559, -0.002713, 0.002361
0.000165, -0.003507, -0.012289, 0.001428
0.002091, -0.004320, -0.018344, -0.041667
0.000255, 0.004774, -0.007754, -0.013103
0.000160, 0.005264, -0.006595, -0.009426
0.001020, 0.014448, -0.003525, -0.028268
0.001222, -0.016755, -0.012251, -0.028131
0.000045, 0.001089, -0.006618, 0.000556
0.000168, -0.011814, -0.003691, 0.003815
0.000023, 0.003303, -0.002811, 0.002110
0.000029, 0.001643, -0.005099, 0.000729
0.000144, -0.007026, -0.007949, -0.005590
0.000242, 0.000673, -0.007377, -0.013661
0.000419, 0.005429, -0.014498, -0.013375
0.000018, 0.000143, -0.002748, 0.003287
0.000085, 0.007995, -0.002361, 0.003913
0.000115, 0.007739, -0.005242, -0.005245
0.000100, 0.006239, -0.005764, -0.005278
0.000029, 0.002409, -0.003624, -0.003152
0.000028, 0.004140, -0.002066, 0.002544
0.000037, 0.004099, -0.003852, 0.002345
0.000167, 0.004488, -0.011464, -0.003903
0.000182, 0.005507, -0.012234, 0.001430
0.000480, 0.002901, -0.007106, -0.020514
0.000257, 0.001573, -0.009156, -0.013064
0.000020, 0.003761, -0.002407, -0.000275
0.000400, 0.006770, -0.009677, -0.016125
0.000252, -0.003171, -0.009618, -0.012235
0.000248, -0.000856, -0.010057, -0.012094
0.000012, 0.002212, 0.002132, -0.001615
0.000132, 0.002431, -0.008467, -0.007358
0.000126, 0.003830, -0.010076, -0.003202
0.000085, 0.001005, -0.009139, -0.000236
0.000032, 0.004914, -0.001714, 0.002257
0.000045, 0.001153, -0.001239, 0.006500
0.000895, -0.007057, -0.003409, -0.028874
0.000582, -0.012362, -0.013618, -0.015617
0.000543, 0.001119, -0.012686, -0.019510
0.000182, 0.002697, -0.010134, -0.008487
0.000310, 0.002022, -0.009986, -0.014347
0.000500, 0.001584, -0.015125, -0.016401
0.000469, -0.003000, -0.012891, -0.017149
0.000055, 0.001657, -0.007122, 0.001222
0.000052, 0.003740, 0.000198, 0.006192
0.000113, 0.002298, -0.010131, -0.002279
0.000367, 0.001093, 0.003350, 0.018833
0.000050, 0.002265, -0.001595, 0.006531
