r2, X, Y, Z,,
0.000866,0.010625,-0.009622,-0.02571,,
0.000034,0.003447,0.004548,0.001261,,
0.000174,-0.000209,-0.009449,-0.009226,,
0.000444,0.011475,-0.006004,-0.016624,,
0.000205,0.001236,-0.007588,-0.012086,,
0.000038,-0.00088,-0.002107,-0.005721,,
0.001123,0.016432,0.000183,-0.029209,,
0.000489,-0.003649,-0.006108,-0.020948,,
0.000164,-0.000613,-0.002947,-0.012443,,
0.00008,-0.0059,-0.002533,-0.006192,,
0.000281,-0.001363,-0.009571,-0.013695,,
0.00033,-0.004729,-0.007432,0.01589,,
0.000979,-0.007748,-0.021673,-0.021199,,
0.000734,0.014358,-0.008338,-0.021418,0, Accelerating
0.002413,0.012872,0.031376,0.035543,,
0.000963,0.014146,0.012722,0.024523,,
0.00115,0.014615,-0.030567,-0.00132,,
0.000125,-0.007193,-0.008497,0.001004,,
0.000587,0.002248,0.008212,0.022672,,
0.002428,-0.002098,-0.016672,-0.046318,,
0.001346,0.017116,-0.010037,0.030851,,
0.004576,-0.001283,-0.041155,-0.053673,,
0.000469,-0.001591,0.017289,0.012957,,
0.008683,0.004839,-0.045147,-0.081374,,
0.000427,0.010549,-0.013256,0.011811,,
0.008078,0.014035,0.011083,0.088078,,
0.000425,0.003482,-0.018406,0.008614,,
0.013876,0.021889,-0.019907,-0.114018,,
0.005527,-0.000267,-0.021413,-0.07119,,
0.014054,-0.041399,-0.058371,0.094515,,
0.002847,-0.051421,-0.014109,0.001927,,
0.005042,-0.015702,0.007174,0.068877,,
0.005341,0.007407,-0.042855,-0.058736,,
0.00246,0.02954,0.014055,0.037275,,
0.000116,-0.003536,-0.006466,-0.007831,,
0.001425,0.004346,-0.013886,-0.034836,,
0.001164,0.024513,0.014225,0.019,,
0.002952,0.004726,0.03109,0.044305,,
0.009012,0.018001,0.024326,0.089976,,
0.001261,-0.008169,-0.032849,0.010746,,
0.001076,0.022448,0.021908,0.009621,,
0.002442,-0.028812,0.01462,0.03739,,
0.002891,0.005923,0.007644,0.052887,,
0.002596,0.005292,0.024464,0.044382,,
0.01028,-0.013312,-0.041139,-0.091709,,
0.02891,-0.018104,-0.041595,-0.163865,,
0.001597,0.005621,-0.002818,0.039469,,
0.00738,0.002611,0.028513,0.080995,,
0.021104,-0.003192,-0.015905,-0.144365,,
0.00281,0.003579,-0.014744,-0.050788,,
0.012158,-0.02295,-0.081905,-0.070166,,
0.001378,0.012151,0.031757,0.014898,,
0.000863,-0.020385,-0.020544,0.005063,,
0.006466,-0.032423,-0.003491,-0.0735,,
0.00154,0.017484,-0.005884,-0.034635,,
0.018568,-0.010201,-0.047323,-0.127374,,
0.008492,-0.028303,-0.044894,-0.075333,,
0.002339,0.026611,0.021226,-0.034351,,
0.001806,-0.040413,0.004116,0.012498,,
0.000528,-0.022794,-0.001524,0.002398,,
0.001564,0.017507,-0.000927,0.03545,,
0.013822,-0.057551,-0.028394,0.098505,,
0.001362,0.030937,0.017297,0.010296,,
0.005814,0.029074,0.069662,0.010745,,
0.007335,-0.027961,-0.038386,-0.071269,,
0.003245,-0.030064,-0.043264,0.02167,,
0.000474,0.004908,0.01896,0.009521,,
0.007795,0.027407,0.026984,0.079472,,
0.008159,-0.088169,0.005315,-0.018884,,
0.002032,-0.032231,0.005205,0.031085,,
0.002413,-0.011959,-0.023293,-0.041568,,
0.002255,0.008766,0.046324,-0.005637,,
0.00944,-0.054844,-0.000429,-0.080202,,
0.020196,0.004043,0.000211,-0.142056,,
0.004338,0.01149,0.063735,0.012003,,
0.001853,0.024544,0.035257,-0.002781,,
0.001457,-0.015556,0.024471,-0.024818,,
0.009998,0.021413,-0.041825,-0.088261,,
0.045305,0.050353,0.003799,0.206774,,
0.003617,-0.017671,-0.048081,0.03151,,
0.01641,0.011754,0.009592,0.127199,,
0.001449,0.021061,-0.013632,-0.02862,,
0.008166,0.033653,0.003652,0.083785,,
0.000766,0.023581,0.010141,-0.010361,,
0.007647,-0.025409,-0.019846,0.081288,,
0.003231,-0.016636,-0.040879,-0.035818,,
0.002653,-0.006634,-0.007932,-0.050454,,
0.016187,0.012322,0.043645,0.118872,,
0.003884,-0.004343,-0.020422,-0.058722,,
0.009275,0.031145,0.056834,0.071237,,
0.006539,-0.040888,-0.030778,-0.062612,,
0.000546,0.012624,-0.006864,0.01842,,
0.013517,0.011375,0.021237,-0.113738,,
0.015611,-0.002211,-0.078575,-0.097117,,
0.001182,0.018516,0.026478,-0.011755,,
0.001594,0.006251,-0.010845,0.037918,,
0.008227,0.000863,-0.016194,-0.089242,,
0.007328,0.002123,-0.054923,-0.065626,,
0.003463,-0.005693,0.00708,0.058138,,
0.004895,0.017218,-0.026025,-0.062621,,
0.009557,0.006793,0.059165,0.077527,,
0.010933,0.009732,-0.024886,-0.101087,,
0.000328,0.008424,-0.001965,0.015923,,
0.007258,-0.01697,-0.066943,-0.049882,,
0.000375,0.000257,0.019288,-0.001832,,
0.0045,0.031594,0.003057,0.059099,,
0.00249,-0.016496,-0.03083,-0.035598,,
0.001179,0.008836,-0.03187,-0.009218,,
0.000709,-0.009939,0.02329,0.008258,,
0.007078,0.038452,0.059846,0.044926,,
0.002822,-0.032686,-0.02953,-0.029696,,
0.02185,0.068077,-0.003665,-0.131158,,
0.000098,-0.006778,-0.001937,0.006974,,
0.004177,-0.034103,-0.054802,-0.003224,,
0.002295,0.002776,0.034255,0.033378,,
0.001479,0.00121,0.020757,0.032357,,
0.022539,0.020347,0.045623,0.141574,,
0.002525,0.000271,-0.048075,-0.014618,,
0.007984,0.02846,0.082736,0.018118,,
0.000627,-0.012145,0.012647,-0.01787,,
0.008516,0.043197,0.004458,0.081423,,
0.000394,0.016701,-0.010514,0.002083,,
0.019012,0.050137,-0.000873,0.128444,,
0.026655,-0.055376,-0.062834,-0.140143,,
0.005118,-0.058428,-0.026135,0.031949,,
0.003353,0.012575,0.045746,0.033198,,
0.001776,0.038031,0.012235,-0.013398,,
0.001043,0.008993,0.018888,0.024603,,
0.000814,-0.012139,0.023289,-0.011125,,
0.029054,0.036377,0.06538,0.153152,,
0.013437,-0.035112,-0.085981,-0.069367,,
0.001739,0.031445,0.000793,-0.027385,,
0.004096,0.010137,-0.013445,0.061744,,
0.141494,-0.042562,-0.124994,-0.35222,,
0.019145,0.006908,0.031339,0.134591,,
0.045566,0.047723,0.085587,0.189639,,
0.00386,0.024278,-0.037068,-0.043544,,
0.013669,-0.057289,-0.100766,-0.015283,,
0.000517,-0.00318,0.006933,0.02142,,
0.012292,-0.003928,0.045148,0.101183,,
0.003023,0.007973,0.006419,0.054024,,
0.035351,0.030153,0.061033,0.175262,,
0.005145,0.017687,0.055787,0.041471,,
0.004649,0.022768,-0.034289,-0.054356,,
0.043106,-0.051592,-0.092745,-0.178445,,
0.00417,-0.022636,-0.025475,-0.054847,,
0.003325,-0.010034,-0.011409,-0.055622,,
0.008402,-0.019845,-0.06475,-0.061767,,
0.014873,-0.045776,-0.036174,-0.107093,,
0.000159,0.011716,0.002336,-0.004087,,
0.055877,-0.053487,-0.140827,-0.182163,,
0.000662,0.015605,0.005919,0.019579,,
0.029018,0.034674,-0.018261,-0.165779,,
0.003473,-0.005989,-0.053316,0.024375,,
0.007115,-0.001617,0.031316,0.078304,,
0.008252,-0.029065,0.02235,0.083112,,
0.009795,-0.003708,0.074136,0.065463,,
0.032416,-0.009206,-0.075453,-0.163211,,
0.001544,-0.015282,-0.011374,-0.034363,,
0.020357,0.003849,-0.024737,-0.140464,,
0.002167,-0.000269,-0.021838,-0.041116,,
0.001192,-0.006778,-0.021492,-0.026153,,
0.00468,-0.030523,-0.025492,-0.055661,,
0.01684,-0.02733,-0.027335,-0.12388,,
0.001434,-0.034672,0.014554,0.004485,,
0.011875,0.006715,0.034286,0.103221,,
0.004415,-0.025971,-0.026569,-0.055083,,
0.005697,-0.020645,0.039286,-0.061049,,
0.003365,-0.037596,-0.000545,-0.044172,0, Max Velocity Reached
0.009223,0.009465,-0.004941,-0.095442,,
0.131372,-0.112122,-0.141352,-0.314358,,
0.003792,-0.001984,0.055562,0.026477,,
0.002406,-0.023439,-0.012358,-0.041276,,
0.003481,0.004008,-0.004242,-0.05871,,
0.005393,0.020512,-0.070516,-0.000284,,
0.000616,0.002568,-0.015892,-0.01889,,
0.001784,-0.010763,-0.032994,-0.024065,,
0.009649,-0.028299,-0.053786,-0.077167,,
0.051665,0.029254,0.075099,0.21253,,
0.011996,-0.002833,-0.005075,0.109374,,
0.005229,-0.001611,0.012535,0.071199,,
0.001892,-0.010849,0.03322,0.0259,,
0.002393,0.003338,0.002608,-0.048735,,
0.008809,0.038808,0.034999,0.077961,,
0.003688,0.008232,0.033764,0.049806,,
0.015484,0.037963,-0.014041,-0.117668,,
0.029921,0.011211,0.052841,0.164326,,
0.002786,-0.040177,0.0256,-0.022727,,
0.007131,-0.017016,0.08105,0.016492,,
0.002853,0.019709,0.049498,0.003877,,
0.006781,0.036532,0.071623,0.017785,,
0.007964,0.047746,0.014769,0.073937,,
0.003043,0.008898,0.051965,0.016217,,
0.011534,-0.044131,-0.040662,-0.089066,,
0.00071,0.017235,0.001639,0.020255,,
0.005267,0.060939,0.039173,-0.004385,,
0.002414,0.0098,-0.01445,0.045923,,
0.005761,0.038254,-0.039776,0.052105,,
0.002496,0.030857,0.025993,0.029469,,
0.001538,0.020148,0.005564,0.033189,,
0.053146,-0.029259,-0.107267,-0.201949,,
0.00108,0.020562,-0.025619,-0.001117,,
0.002501,0.04605,0.014256,0.013325,,
0.022428,-0.024642,-0.010079,-0.147376,,
0.002948,0.004175,0.022884,-0.049056,,
0.006099,-0.00633,-0.010459,-0.077136,,
0.020146,-0.009162,-0.054857,-0.130588,,
0.014163,0.023941,0.088784,0.075548,,
0.007694,0.01278,0.018893,0.0847,,
0.020656,-0.045328,-0.026389,-0.133808,,
0.115885,-0.238138,0.238231,0.049209,,
0.02569,0.156497,0.03239,0.012219,,
0.003642,-0.02177,0.024233,-0.050806,,
0.110073,-0.011605,0.186324,0.274266,,
0.016715,-0.049172,-0.018212,0.118176,,
0.00923,0.052584,0.072642,0.034471,,
0.006793,-0.014968,0.071464,0.038227,,
0.001342,-0.007604,-0.029891,0.019773,,
0.008569,-0.039079,0.009888,-0.083333,,
0.000496,-0.004758,0.007977,0.020243,,
0.00847,-0.002012,-0.028282,0.087558,,
0.002612,-0.016163,-0.005042,-0.048219,,
0.002361,-0.016579,-0.021056,-0.040534,,
0.022912,0.001705,-0.044602,-0.144636,,
0.001654,0.032595,0.019541,0.014473,,
0.003036,-0.013215,0.023399,-0.048097,,
0.001519,0.017441,0.008404,0.033824,,
0.015747,0.018205,0.0222,0.122159,,
0.008982,0.006615,-0.046854,-0.082117,,
0.016977,0.006245,0.05617,0.117402,,
0.017409,0.002654,-0.045135,-0.123955,,
0.001782,-0.031746,0.021383,-0.017806,,
0.003967,0.013452,-0.022537,-0.057259,,
0.000052,-0.006671,-0.002722,0.000383,,
0.018454,0.013668,0.079319,0.109435,,
0.016344,-0.01407,-0.001365,0.127059,,
0.01502,0.014097,-0.043342,-0.113765,,
0.002047,-0.010282,0.021402,-0.03851,,
0.032045,-0.008028,0.056479,0.169678,,
0.020062,-0.02073,-0.02727,-0.137438,,
0.009174,0.018988,0.083572,0.042766,,
0.0064,0.011983,-0.013017,-0.078019,,
0.047572,-0.037557,-0.127827,-0.172689,,
0.004179,0.010542,0.012822,0.062477,,
0.025403,0.012917,-0.030494,-0.155906,,
0.002431,0.006562,0.007963,0.048217,,
0.032314,-0.014355,-0.035182,-0.175699,,
0.002033,-0.031502,-0.030707,-0.009908,,
0.022282,0.007965,-0.018238,0.147938,,
0.004719,0.003263,-0.035505,-0.058717,,
0.002299,-0.020134,0.002924,-0.043417,,
0.005549,0.020867,-0.009736,0.070841,,
0.003962,0.013531,0.031427,0.052833,,
0.002978,-0.003936,-0.039556,-0.037394,,
0.00348,0.001738,0.03049,0.05047,,
0.008974,-0.001028,-0.00003,-0.094727,,
0.005784,0.001316,-0.021278,-0.073,,
0.0009,-0.000265,-0.027348,-0.012316,,
0.009916,0.003244,-0.017652,-0.097948,,
0.001847,-0.000881,-0.042938,-0.001458,,
0.000188,0.009685,-0.004789,0.008439,,
0.020654,-0.039869,-0.083182,-0.110207,,
0.001499,-0.034096,0.012344,-0.013562,,
0.002306,0.013594,-0.041425,0.020138,,
0.004254,-0.003316,0.002301,0.065094,,
0.049283,-0.031978,-0.085368,-0.202417,,
0.022577,-0.002794,-0.104706,-0.107729,,
0.005175,-0.010547,0.063788,0.031538,,
0.002304,-0.026809,-0.020126,-0.034347,,
0.010972,0.013071,0.003042,0.103886,0, Decelerating
0.001938,-0.021624,0.007122,-0.037685,,
0.003703,-0.011919,-0.014746,-0.057821,,
0.001124,-0.012917,-0.028331,0.012449,,
0.029537,-0.009726,-0.022793,-0.170067,,
0.005712,-0.014924,0.014143,-0.072724,,
0.011178,-0.075011,-0.015348,-0.072907,,
0.00976,-0.027979,-0.020741,-0.092449,,
0.000678,-0.009381,0.016987,-0.017353,,
0.002458,0.005573,-0.039308,-0.029692,,
0.008404,-0.014791,0.004579,-0.090359,,
0.000547,-0.009324,-0.009378,0.019279,,
0.006635,-0.003826,-0.036909,-0.072513,,
0.001775,0.034974,0.00837,-0.021958,,
0.000883,-0.003308,-0.003332,-0.029341,,
0.000258,-0.005834,0.006457,0.01349,,
0.000438,-0.003072,-0.011219,-0.017401,,
0.007647,0.007956,-0.027489,-0.082633,,
0.000614,-0.004232,-0.013072,-0.020628,,
0.001987,-0.039333,-0.011868,-0.017303,,
0.000677,-0.017995,-0.018364,0.004026,,
0.002498,-0.007184,-0.012096,-0.047962,,
0.001347,-0.003411,-0.008487,-0.03554,,
0.01506,0.120792,-0.003514,-0.021372,,
0.002407,0.039626,0.024393,0.015549,0, Stopped
0.004603,-0.008343,-0.005339,-0.067116,,
0.000128,0.002593,-0.004152,-0.010188,,
0.000363,-0.000606,-0.009924,-0.016239,,
0.000275,-0.002544,-0.000646,-0.01636,,
0.000415,-0.011793,-0.001123,-0.016587,,
0.001268,0.003199,0.027521,-0.022366,,
0.001075,0.001468,-0.015859,-0.02866,,
0.000214,-0.007702,0.004548,0.011593,,
0.000162,-0.006893,-0.0101,-0.003592,,
0.000155,0.011533,0.004037,0.002306,,
0.00017,0.007203,-0.002553,-0.010579,,
0.000201,-0.000383,-0.013073,-0.005467,,
0.001034,0.00968,-0.027696,-0.013154,,
0.023767,0.061925,-0.123786,-0.067889,,
0.012659,-0.107339,0.005525,-0.033271,,
0.003485,-0.049613,0.028036,0.015402,,
0.01228,-0.04835,0.045287,-0.088835,,
0.002178,0.00483,-0.041027,0.021712,,
0.006171,-0.038833,-0.016423,0.066283,,
0.000296,0.008952,-0.003218,0.014324,,
0.005163,0.038575,0.015002,-0.058738,,
0.001952,0.011677,-0.026646,0.033257,,
0.009244,0.072431,-0.030521,-0.055373,,
0.017282,0.070044,-0.020165,-0.109404,,
0.00133,0.033581,0.007137,0.012325,,
0.002706,0.026285,-0.035947,0.026879,,
0.000733,0.007367,-0.004356,-0.02568,,
0.035791,0.139008,-0.118605,0.049001,,
0.006087,0.007906,-0.015178,-0.07612,,
0.010116,-0.093571,0.02105,-0.030284,,
0.014094,-0.032577,0.034516,-0.108819,,
0.009694,0.084986,0.042811,0.02528,,
0.000797,-0.022828,-0.016592,0.000314,,
0.00159,-0.027891,-0.008139,0.02731,,
0.001245,0.012094,-0.022914,-0.02395,,
0.000679,-0.021336,-0.01395,-0.005441,,
0.000131,-0.0001,-0.009721,-0.006048,,
0.000687,-0.009624,-0.005377,-0.023783,,
0.000341,-0.005876,0.004504,-0.016926,,
0.000172,-0.007667,-0.010618,0.000408,,
0.000093,0.00647,-0.007062,-0.000931,,
0.00074,-0.007919,-0.011854,-0.023176,,
0.000171,-0.005817,-0.011111,-0.003755,,
0.000118,-0.005282,-0.005387,-0.00782,,
0.000241,-0.001858,-0.008291,-0.012991,,
0.000295,-0.003305,-0.001056,-0.016815,,
0.00037,0.006189,-0.004269,-0.017694,,
0.000258,-0.004161,-0.005206,-0.014615,,
0.0004,-0.003859,-0.010158,-0.016803,,
0.0003,0.00627,-0.005523,-0.015177,,
0.000431,0.004049,-0.007627,-0.018882,,
0.000699,-0.010122,-0.015797,-0.018618,,
0.000324,0.002655,-0.017513,-0.00314,,
0.000154,0.004811,-0.009736,-0.006006,,
0.000043,0.002561,-0.00226,-0.005607,,
0.000538,-0.005324,-0.012104,-0.019044,,
0.002308,0.004846,0.022886,-0.041962,,
0.000494,0.003317,-0.012105,-0.018338,,
0.000423,-0.0041,-0.014904,-0.013575,,
0.000354,0.000152,-0.014695,-0.011763,,
0.000364,0.004788,-0.007315,-0.016956,,
0.000105,-0.002713,-0.004752,-0.00869,,
0.000733,-0.012854,-0.017522,-0.016163,,
0.0001,-0.004526,-0.005908,-0.006695,,
0.000337,0.00525,-0.008134,-0.015596,,
0.000222,-0.0007,-0.009276,-0.011654,,
